ds,yhat,yhat_lower,yhat_upper,kategori
2018-09-30,183782.18634710938,167616.6462232591,201255.59205070382,TOTAL
2018-10-31,73650.36172690711,56397.79793377063,88659.18463477479,TOTAL
2018-11-30,117417.88419327994,100626.28976094563,132315.75580170078,TOTAL
2018-12-31,37019.20690343892,20737.973401464587,52388.94720608104,TOTAL
2019-01-31,129022.5556707117,112012.8582635274,145681.41454558022,TOTAL
2019-02-28,187362.26011366682,170636.81933276766,204193.32235296952,TOTAL
2018-09-30,126106.15602380977,,,health_beauty
2018-10-31,100651.80414073094,,,health_beauty
2018-11-30,186505.01247546097,,,health_beauty
2018-12-31,145625.6829519859,,,health_beauty
2019-01-31,157194.34076880416,,,health_beauty
2019-02-28,171613.2517283934,,,health_beauty
2018-09-30,120234.48874481468,,,watches_gifts
2018-10-31,123281.16076038979,,,watches_gifts
2018-11-30,191006.91450065543,,,watches_gifts
2018-12-31,132548.78617341197,,,watches_gifts
2019-01-31,132249.5915660638,,,watches_gifts
2019-02-28,103974.39010258488,,,watches_gifts
2018-09-30,163157.18136107211,,,bed_bath_table
2018-10-31,92533.0669753128,,,bed_bath_table
2018-11-30,176799.25542696408,,,bed_bath_table
2018-12-31,81222.83258288448,,,bed_bath_table
2019-01-31,136088.92995943967,,,bed_bath_table
2019-02-28,102739.68540553749,,,bed_bath_table
2018-09-30,174776.65204604977,,,sports_leisure
2018-10-31,92358.11803709724,,,sports_leisure
2018-11-30,111108.1521972759,,,sports_leisure
2018-12-31,94706.50029861447,,,sports_leisure
2019-01-31,143496.186724298,,,sports_leisure
2019-02-28,128053.48346445353,,,sports_leisure
2018-09-30,183782.18634710938,,,computers_accessories
2018-10-31,73650.36172690711,,,computers_accessories
2018-11-30,117417.88419327994,,,computers_accessories
2018-12-31,37019.20690343892,,,computers_accessories
2019-01-31,129022.5556707117,,,computers_accessories
2019-02-28,187362.26011366682,,,computers_accessories
